file,n_issues,unique_rules,rules_top5,sev_counts
data_raw/solhint/json/0x65c79fcb50ca1594b025960e539ed7a9a6d434a3.solhint.json,69,8,use-natspec:51;explicit-types:12;one-contract-per-file:1;no-inline-assembly:1;gas-indexed-events:1,Warning:68;UNKNOWN_SEV:1
data_raw/solhint/json/0x07282f2ceebd7a65451fcd268b364300d9e6d7f5.solhint.json,0,0,,
data_raw/solhint/json/0x4556c4488cc16d5e9552cc1a99a529c1392e4fe9.solhint.json,351,16,use-natspec:192;explicit-types:92;quotes:22;gas-indexed-events:16;gas-strict-inequalities:6,Warning:328;Error:22;UNKNOWN_SEV:1
data_raw/solhint/json/0xdf4d3272ffae8036d9a2e1626df2db5863b4b302.solhint.json,0,0,,
data_raw/solhint/json/0xc5f0f7b66764f6ec8c8dff7ba683102295e16409.solhint.json,0,0,,
data_raw/solhint/json/0x529c513dde7968e19e79e38ff94d36e4c3c21eb7.solhint.json,0,0,,
data_raw/solhint/json/0x59968008a703dc13e6beaeced644bdce4ee45d13.solhint.json,0,0,,
data_raw/solhint/json/0xaeb318360f27748acb200ce616e389a6c9409a07.solhint.json,0,0,,
data_raw/solhint/json/0x2c80d72af9ab0bb9d98f607c817c6f512dd647e6.solhint.json,351,16,use-natspec:192;explicit-types:92;quotes:22;gas-indexed-events:16;gas-strict-inequalities:6,Warning:328;Error:22;UNKNOWN_SEV:1
data_raw/solhint/json/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643.solhint.json,511,13,use-natspec:279;explicit-types:168;gas-indexed-events:43;gas-small-strings:6;const-name-snakecase:3,Warning:510;UNKNOWN_SEV:1
data_raw/solhint/json/0xd7d455d387d7840f56c65bb08ad639de9244e463.solhint.json,0,0,,
data_raw/solhint/json/0xf8b3fa720a9cd8abeed5a81f11f80cd8f93e6b57.solhint.json,0,0,,
data_raw/solhint/json/0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b.solhint.json,585,18,explicit-types:275;use-natspec:178;gas-indexed-events:50;visibility-modifier-order:18;reason-string:14,Warning:584;UNKNOWN_SEV:1
data_raw/solhint/json/0x8315bcbc2c5c1ef09b71731ab3827b0808a2d6bd.solhint.json,0,0,,
data_raw/solhint/json/0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c.solhint.json,65,6,use-natspec:43;explicit-types:11;gas-indexed-events:4;reason-string:3;gas-strict-inequalities:3,Warning:64;UNKNOWN_SEV:1
data_raw/solhint/json/0x31fc01529419ee9623afc5b65d7d72102d116e90.solhint.json,0,0,,
data_raw/solhint/json/0x787bdeaa29a253e40feb35026c3d05c18cbca7b3.solhint.json,96,10,use-natspec:50;gas-small-strings:13;gas-custom-errors:12;reason-string:10;no-inline-assembly:4,Warning:95;UNKNOWN_SEV:1
data_raw/solhint/json/0x8f73b65b4caaf64fba2af91cc5d4a2a1318e5d8c.solhint.json,0,0,,
data_raw/solhint/json/0xc11b1268c1a384e55c48c2391d8d480264a3a7f4.solhint.json,577,16,explicit-types:293;use-natspec:157;gas-indexed-events:47;visibility-modifier-order:18;reason-string:14,Warning:576;UNKNOWN_SEV:1
data_raw/solhint/json/0xa26da78fe6c8d4ba2f1779fd36aed994a8a50bee.solhint.json,0,0,,
data_raw/solhint/json/0x7788a3538c5fc7f9c7c8a74eac4c898fc8d87d92.solhint.json,0,0,,
data_raw/solhint/json/0x3fe65692bfcd0e6cf84cb1e7d24108e434a7587e.solhint.json,569,14,use-natspec:495;func-name-mixedcase:17;gas-small-strings:11;gas-strict-inequalities:7;reason-string:7,Warning:565;Error:3;UNKNOWN_SEV:1
data_raw/solhint/json/0x992ec6a490a4b7f256bd59e63746951d98b29be9.solhint.json,0,0,,
data_raw/solhint/json/0x309d8cf8f7c3340b50ff0ef457075a3c5792203f.solhint.json,0,0,,
data_raw/solhint/json/0x14496b405d62c24f91f04cda1c69dc526d56fde5.solhint.json,0,0,,
data_raw/solhint/json/0x2c7118c4c88b9841fcf839074c26ae8f035f2921.solhint.json,0,0,,
data_raw/solhint/json/0xb0aa68d8a0d56ae7276ab9e0e017965a67320c60.solhint.json,0,0,,
data_raw/solhint/json/0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63.solhint.json,87,13,use-natspec:29;gas-small-strings:19;explicit-types:15;reason-string:6;const-name-snakecase:4,Warning:86;UNKNOWN_SEV:1
data_raw/solhint/json/0xc40febf5a33b8c92b187d9be0fd3fe0ac2e4b07c.solhint.json,0,0,,
data_raw/solhint/json/0xc0d4ceb216b3ba9c3701b291766fdcba977cec3a.solhint.json,248,15,use-natspec:191;gas-small-strings:20;reason-string:14;gas-increment-by-one:5;gas-strict-inequalities:5,Warning:246;Error:1;UNKNOWN_SEV:1
data_raw/solhint/json/0xa07c5b74c9b40447a954e1466938b865b6bbea36.solhint.json,2,1,UNKNOWN_RULE:2,Error:1;UNKNOWN_SEV:1
data_raw/solhint/json/0x8729438eb15e2c8b576fcc6aecda6a148776c0f5.solhint.json,73,11,gas-small-strings:21;explicit-types:17;use-natspec:11;gas-strict-inequalities:5;reason-string:5,Warning:72;UNKNOWN_SEV:1
data_raw/solhint/json/0x8fcb1783bf4b71a51f702af0c266729c4592204a.solhint.json,0,0,,
data_raw/solhint/json/0x5ef30b9986345249bc32d8928b7ee64de9435e39.solhint.json,155,7,use-natspec:90;explicit-types:56;reason-string:3;gas-strict-inequalities:3;one-contract-per-file:1,Warning:154;UNKNOWN_SEV:1
data_raw/solhint/json/0x3afdc9bca9213a35503b077a6072f3d0d5ab0840.solhint.json,0,0,,
data_raw/solhint/json/0x82af49447d8a07e3bd95bd0d56f35241523fbab1.solhint.json,65,8,use-natspec:41;gas-small-strings:10;reason-string:7;gas-strict-inequalities:2;gas-indexed-events:2,Warning:64;UNKNOWN_SEV:1
data_raw/solhint/json/0xa660c9aaa46b696df01768e1d2d88ce2d5293778.solhint.json,0,0,,
data_raw/solhint/json/0x940098b108fb7d0a7e374f6eded7760787464609.solhint.json,0,0,,
