slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found
matrixai,MatrixAI,Algo-Stables,Sonic,Sonic,0.1794871041862198,Q1,0,0,0,0,0,,,0
atoll,Atoll,Yield,Sonic,Sonic,0.0,Q1,0,0,0,0,0,,,0
yoko,Yoko,AI Agents,Sonic,Sonic,0.0,Q1,0,0,0,0,0,,,0
chickendefi,ChickenDefi,Dexs,Sonic,Sonic,0.0012734711969809,Q1,0,0,0,0,0,,,0
polkaswap,Polkaswap,Dexs,Sora,Sora,0.0,Q1,0,0,0,0,0,,,0
xfam.tech,xfam.tech,SoFi,Starknet,Starknet,0.5125586452066455,Q1,0,0,0,0,0,,,0
nimbora-lending,Nimbora Lending,Lending,Starknet,Starknet,0.0,Q1,0,0,0,0,0,,,0
blend-backstop-v2,Blend Backstop V2,Insurance,Stellar,Stellar,0.0,Q1,0,0,0,0,0,,,0
blend-backstop,Blend Backstop,Insurance,Stellar,Stellar,0.0,Q1,0,0,0,0,0,,,0
deepbook-v2,DeepBook V2,Dexs,Sui,Sui,0.0,Q1,0,0,0,0,0,,,0
suimarket,SuiMarket,Prediction Market,Sui,Sui,0.0,Q1,0,0,0,0,0,,,0
alkimi,Alkimi,Services,Sui,Sui,0.0,Q1,0,0,0,0,0,,,0
fountain-finance,Fountain Finance,Yield,Sui,Sui,0.0,Q1,0,0,0,0,0,,,0
pegasys-v2,PegaSys V2,Dexs,Syscoin,Syscoin,0.0,Q1,0,0,0,0,0,,,0
forge-game,Forge Game,Gaming,TON,TON,0.2390859835230698,Q1,0,0,0,0,0,,,0
tonstakers-token-staking,Tonstakers Token Staking,Farm,TON,TON,0.0,Q1,0,0,0,0,0,,,0
jvault,JVault,Farm,TON,TON,0.0,Q1,0,0,0,0,0,,,0
bagel-finance-v1,Bagel Finance V1,Dexs,TON,TON,0.3218474187642186,Q1,0,0,0,0,0,,,0
ton-locker,TON Locker,Chain,TON,TON,0.0,Q1,0,0,0,0,0,,,0
taiko-drips,Taiko Drips,Farm,Taiko,Taiko,0.0,Q1,0,0,0,0,0,,,0
axion-finance-v2,Axion Finance V2,Dexs,Taiko,Taiko,0.002012498038863,Q1,0,0,0,0,0,,,0
fomoswap-v4,FomoSwap V4,Dexs,Taraxa,Taraxa,0.442299149116828,Q1,0,0,0,0,0,,,0
omnidex-lend,Omnidex Lend,Lending,Telos,Telos,0.0016333459164284,Q1,0,0,0,0,0,,,0
jumpdefi,JumpDefi,Dexs,Telos,Telos,0.0828571325743816,Q1,0,0,0,0,0,,,0
tenx,Tenx,Dexs,Tenet,Tenet,0.0,Q1,0,0,0,0,0,,,0
tendie-swap,Tendie Swap,Dexs,Tenet,Tenet,0.0,Q1,0,0,0,0,0,,,0
nexus-protocol,Nexus Protocol,Yield,Terra,Terra,0.0,Q1,0,0,0,0,0,,,0
anchor,Anchor,Lending,Terra,Terra;Avalanche,0.0,Q1,0,0,0,0,0,,,0
terrafloki,TerraFloki,Dexs,Terra,Terra,0.0,Q1,0,0,0,0,0,,,0
valkyrie,Valkyrie,Launchpad,Terra,Terra,0.0,Q1,0,0,0,0,0,,,0
astroport-classic,Astroport Classic,Dexs,Terra,Terra,0.0,Q1,0,0,0,0,0,,,0
crunchy-liquid-staking,Crunchy Liquid Staking,Liquid Staking,Tezos,Tezos,0.0,Q1,0,0,0,0,0,,,0
octoplace,OCTOplace,NFT Marketplace,Theta,Theta;Kava,0.9774437051744252,Q1,0,0,0,0,0,,,0
thorchain-lending,Thorchain Lending,CDP,Thorchain,Thorchain,0.0,Q1,0,0,0,0,0,,,0
decryption,Decryption,Dexs,Tlchain,Tlchain,0.0,Q1,0,0,0,0,0,,,0
tomofinance,TomoFinance,CDP,TomoChain,TomoChain,0.0,Q1,0,0,0,0,0,,,0
coin98,Coin98,Farm,TomoChain,TomoChain,0.0,Q1,0,0,0,0,0,,,0
juststables,JustStables,CDP,Tron,Tron,0.0,Q1,0,0,0,0,0,,,0
luminous-finance,Luminous Finance,Dexs,Tron,Tron,0.0,Q1,0,0,0,0,0,,,0
raidshift-marketplace,RAIDSHIFT Marketplace,Dexs,Tron,Tron,0.0599704130520059,Q1,0,0,0,0,0,,,0
shinobi,Shinobi,Dexs,Ubiq,Ubiq,0.0,Q1,0,0,0,0,0,,,0
ultron-staking-hub-nft,Ultron Staking Hub NFT,Staking Pool,Ultron,Ultron,0.0,Q1,0,0,0,0,0,,,0
uniderp,UniDerp,Launchpad,Unichain,Unichain,0.0,Q1,0,0,0,0,0,,,0
betswirl,BetSwirl,Prediction Market,Unichain,Unichain;Polygon;Avalanche;Base;Arbitrum;Binance,0.0,Q1,0,0,0,0,0,,,0
velaspad,VelasPad,Launchpad,Velas,Velas,0.0,Q1,0,0,0,0,0,,,0
velerodao,VeleroDAO,CDP,Velas,Velas,0.0,Q1,0,0,0,0,0,,,0
velhalla,Velhalla,Gaming,Velas,Velas,0.0,Q1,0,0,0,0,0,,,0
konverter,Konverter,Dexs,WEMIX,WEMIX,0.0,Q1,0,0,0,0,0,,,0
pluto-on-waves,Pluto on Waves,Reserve Currency,Waves,Waves,0.0,Q1,0,0,0,0,0,,,0
wdjc,WDJC,Gaming,Wax,Wax,0.0444253615989103,Q1,0,0,0,0,0,,,0
golden-otter-hub,Golden Otter Hub,Farm,World Chain,World Chain,0.0,Q1,0,0,0,0,0,,,0
dna,DNA,Farm,World Chain,World Chain,0.0,Q1,0,0,0,0,0,,,0
