protocol_name_raw,symbol,category,chains,tvl_max,audit_firms,audit_score_max,audit_score_mean,last_audit_date,audit_sources,audit_firm_count,has_audit,audit_score,any_top_firm,proto_norm,slug
Alchemist,MIST,Yield,['Ethereum'],645161.0414818368,[],,,,['api'],0,0,,0,alchemist,alchemist
Alchemix,ALCX,Synthetics,['Multi-Chain'],57289955.086885884,[],,,,['api'],0,0,,0,alchemix,alchemix
Alcor Exchange,-,Dexs,['Multi-Chain'],380541.75422046264,[],,,,['api'],0,0,,0,alcor exchange,alcor-exchange
Aldrin,RIN,Dexs,['Solana'],844587.8414321108,[],,,,['api'],0,0,,0,aldrin,aldrin
Alephium Bridge,-,Bridge,['Multi-Chain'],2880534.646138259,[],,,,['api'],0,0,,0,alephium bridge,alephium-bridge
AlfaFrens,-,SoFi,['Base'],9325.128449768436,[],,,,['api'],0,0,,0,alfafrens,alfafrens
Algebra DEX,ALGB,Dexs,['Polygon'],107598.34550479372,[],,,,['api'],0,0,,0,algebra dex,algebra-dex
Algebra Integral,ALGB,Dexs,['nan'],,[],,,,['api'],0,0,,0,algebra integral,algebra-integral
Algem,-,Liquid Staking,['Astar'],95830.88570681712,[],,,,['api'],0,0,,0,algem,algem
AlgoBlocks,ALGOBLK,Services,['Binance'],0.0,[],,,,['api'],0,0,,0,algoblocks,algoblocks
AlgoRai Finance,-,Options Vault,['Algorand'],22755.25643727325,[],,,,['api'],0,0,,0,algorai finance,algorai-finance
Algodex,ALGX,Dexs,['Algorand'],6406.082813232726,[],,,,['api'],0,0,,0,algodex,algodex
Algofi Lend,-,Lending,['Algorand'],1023061.3576900668,[],,,,['api'],0,0,,0,algofi lend,algofi-lend
Algofi Swap,-,Dexs,['Algorand'],90031.900849033,[],,,,['api'],0,0,,0,algofi swap,algofi-swap
Algomint,goMINT,Algo-Stables,['Algorand'],362.4220137161257,[],,,,['api'],0,0,,0,algomint,algomint
Alien Base Area51,ALB,Dexs,['Base'],36184.554326320176,[],,,,['api'],0,0,,0,alien base area51,alien-base-area51
Alien Base StableSwap,ALB,Dexs,['Base'],2569.497797368176,[],,,,['api'],0,0,,0,alien base stableswap,alien-base-stableswap
Alien Base V2,ALB,Dexs,['Base'],6080671.518179558,[],,,,['api'],0,0,,0,alien base v2,alien-base-v2
Alien Base V3,ALB,Dexs,['Base'],9538940.65267278,[],,,,['api'],0,0,,0,alien base v3,alien-base-v3
Alien Finance,ALIEN,Lending,['Blast'],0.0,[],,,,['api'],0,0,,0,alien finance,alien-finance
Alien Worlds,TLM,Gaming,['Wax'],138740.5727937589,[],,,,['api'],0,0,,0,alien worlds,alien-worlds
AlienFi,ALIEN,Dexs,['Arbitrum'],152790.62699551985,[],,,,['api'],0,0,,0,alienfi,alienfi
AliensFarm,PAUL,Dexs,['Tezos'],1682.499328929057,[],,,,['api'],0,0,,0,aliensfarm,aliensfarm
Alita Finance,ALI,Dexs,['Binance'],269783.13969493035,[],,,,['api'],0,0,,0,alita finance,alita-finance
Alium Swap,ALM,Dexs,['Binance'],24721.644696871233,[],,,,['api'],0,0,,0,alium swap,alium-swap
Alkemi,ALK,Lending,['Ethereum'],270448.4643108523,[],,,,['api'],0,0,,0,alkemi,alkemi
Alkimi,ALKIMI,Services,['Sui'],0.0,[],,,,['api'],0,0,,0,alkimi,alkimi
Alkimiya,-,Derivatives,['Base'],12770.033098513217,[],,,,['api'],0,0,,0,alkimiya,alkimiya
AllInXSwap,X,Dexs,['Multi-Chain'],521.9540817158394,[],,,,['api'],0,0,,0,allinxswap,allinxswap
Allbridge Classic,ABR,Bridge,['Multi-Chain'],23559358.08011163,[],,,,['api'],0,0,,0,allbridge classic,allbridge-classic
Allbridge Core,-,Bridge,['Multi-Chain'],23269885.53462987,[],,,,['api'],0,0,,0,allbridge core,allbridge-core
Alligator,GTR,Dexs,['Avalanche'],12404.441498321094,[],,,,['api'],0,0,,0,alligator,alligator
Allinx,INX,Yield,['Binance'],0.0,[],,,,['api'],0,0,,0,allinx,allinx
Allspark,-,Derivatives,['zkLink'],2.35189438e-11,[],,,,['api'],0,0,,0,allspark,allspark
Allstake,-,Restaking,['Multi-Chain'],4122647.5775414743,[],,,,['api'],0,0,,0,allstake,allstake
Almanak,-,Onchain Capital Allocator,['Ethereum'],92615869.84932092,[],,,,['api'],0,0,,0,almanak,almanak
Almond,ALM,Yield,['Solana'],0.0,[],,,,['api'],0,0,,0,almond,almond
Aloe,-,Lending,['Multi-Chain'],195125.32661156013,[],,,,['api'],0,0,,0,aloe,aloe
Alongside,AMKT,Indexes,['Ethereum'],974365.3257214442,[],,,,['api'],0,0,,0,alongside,alongside
