slug,name,symbol,category,tvl,chains,has_audit_strict,has_contest,has_security_review_broad,num_audits_strict,num_contests,audit_event_count_strict,contest_event_count,security_review_event_count_total,last_audit_date_strict,last_contest_date,last_security_review_date,audit_recency_years_strict,audit_firm_count,any_top_firm,audit_firm_tier,audit_score,strict_sources_seen,contest_sources_seen,all_sources_seen,audit_firms_strict
bitget,Bitget,-,CEX,7119296992.985375,Bitcoin;Ethereum;Binance;Tron;Solana;Ripple;Polygon;Cardano;Arbitrum;TON;Avalanche;Base;Cronos;Optimism;Sui;Sonic;Starknet;Klaytn;Metis;zkSync Era;Fantom;Kava;Hyperliquid L1,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
bitkub,Bitkub,KUB,CEX,1617331308.5884738,Bitcoin;Ethereum;Ripple;Binance;Solana;Cardano;Doge;Arbitrum;Optimism;Avalanche;Tron;Polygon;Base;Algorand;Scroll;Aptos;zkSync Era;Mantle;Litecoin;CORE;TON;Fantom,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
bitlend,Bitlend,BLEND,Lending,447.5143686178824,Bittorrent,0,1,1,0,1,0,1,1,,,,,0,0,unknown,,[],[code4rena],[code4rena],[]
bitparty,Bitparty,-,Farm,32172.489797863727,Bitlayer,0,1,1,0,28,0,28,28,,2023-10-24 09:10:47+00:00,2023-10-24 09:10:47+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
bits,Bits,BITS,Yield,55.877842555353155,Base;CORE;Ethereum,0,1,1,0,8,0,8,8,,2021-04-28 21:00:56+00:00,2021-04-28 21:00:56+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
blackhole-amm,Blackhole AMM,BLACK,Dexs,18001736.778440967,Avalanche,0,1,1,0,4,0,4,4,,2025-05-12 15:55:15+00:00,2025-05-12 15:55:15+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
blackrock-buidl,BlackRock BUIDL,BUIDL,RWA,2005180037.0604491,Aptos;Binance;Ethereum;Solana;Avalanche;Arbitrum;Optimism;Polygon,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
blend-backstop-v2,Blend Backstop V2,-,Insurance,0.0,Stellar,0,1,1,0,3,0,3,3,,2025-02-06 18:07:05+00:00,2025-02-06 18:07:05+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
blueberry,Blueberry,BLB,Yield,257207.40808417456,Hyperliquid L1;Ethereum,0,1,1,0,32,0,32,32,,2023-09-09 12:07:44+00:00,2023-09-09 12:07:44+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
blur-bids,Blur Bids,BLUR,NFT Marketplace,28704576.6207498,Ethereum;Blast,0,1,1,0,7,0,7,7,,2022-09-29 01:20:58+00:00,2022-09-29 01:20:58+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
blur-lending,Blur Lending,BLUR,NFT Lending,2151818.7571290517,Ethereum,0,1,1,0,1,0,1,1,,,,,0,0,unknown,,[],[code4rena],[code4rena],[]
bondlink-finance,Bondlink Finance,-,RWA,151991.52420435377,Ethereum,0,1,1,0,18,0,18,18,,2023-08-08 19:59:35+00:00,2023-08-08 19:59:35+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
boofinance,BooFinance,BOOFI,Yield,20354.324033829136,Avalanche,0,1,1,0,8,0,8,8,,2021-11-03 19:27:52+00:00,2021-11-03 19:27:52+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
bow,Bow,-,Yield,31942.717614357894,Kujira,0,1,1,0,4,0,4,4,,2024-11-26 02:40:26+00:00,2024-11-26 02:40:26+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
brahma-vaults-(sunset),Brahma Vaults (Sunset),-,Yield,22983.26820832961,Ethereum;Polygon,0,1,1,0,8,0,8,8,,2023-10-06 20:55:19+00:00,2023-10-06 20:55:19+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
bright-union,Bright Union,BRIGHT,Insurance,0.0,Ethereum,0,1,1,0,13,0,13,13,,2023-03-20 10:27:26+00:00,2023-03-20 10:27:26+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
buffer-finance,Buffer Finance,BFR,Options,81096.66287442468,Arbitrum;Polygon,0,1,1,0,8,0,8,8,,2022-12-08 13:22:00+00:00,2022-12-08 13:22:00+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
burve,Burve,-,Dexs,32105.208783236205,Berachain,0,1,1,0,8,0,8,8,,2025-06-17 17:35:10+00:00,2025-06-17 17:35:10+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
cabal,Cabal,-,Governance Incentives,826529.8806861008,Initia,0,1,1,0,4,0,4,4,,2025-04-22 09:36:29+00:00,2025-04-22 09:36:29+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
canto,Canto,CANTO,Canonical Bridge,0.0,,0,1,1,0,100,0,100,100,,2024-05-28 19:27:19+00:00,2024-05-28 19:27:19+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
cap,cap,-,Lending,372589908.6383074,Ethereum,0,1,1,0,8,0,8,8,,2025-09-02 11:45:19+00:00,2025-09-02 11:45:19+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
caviarnine-lsu-pool,CaviarNine LSU Pool,FLOOP,Dexs,567427.5864000414,Radix,0,1,1,0,16,0,16,16,,2023-04-05 13:11:33+00:00,2023-04-05 13:11:33+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
centrifuge-protocol,Centrifuge Protocol,CFG,RWA,1345793413.472366,Ethereum;Avalanche;Plume Mainnet;Base;Arbitrum;Binance,0,1,1,0,8,0,8,8,,2023-09-05 12:59:40+00:00,2023-09-05 12:59:40+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
chainlink-requests,Chainlink Requests,LINK,Oracle,0.0,,0,1,1,0,24,0,24,24,,2025-05-15 09:41:31+00:00,2025-05-15 09:41:31+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
