protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
gmx,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-gmx,repo=2023-04-gmx,audit_events_sherlock.csv
gmx,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-gmx-judging,repo=2023-04-gmx-judging,audit_events_sherlock.csv
ajna,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-ajna,repo=2023-04-ajna,audit_events_sherlock.csv
ajna,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-ajna-judging,repo=2023-04-ajna-judging,audit_events_sherlock.csv
blueberry,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-blueberry,repo=2023-05-blueberry,audit_events_sherlock.csv
blueberry,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-blueberry-judging,repo=2023-05-blueberry-judging,audit_events_sherlock.csv
dodo,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-dodo,repo=2023-05-dodo,audit_events_sherlock.csv
dodo,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-dodo-judging,repo=2023-05-dodo-judging,audit_events_sherlock.csv
perennial,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-perennial,repo=2023-05-perennial,audit_events_sherlock.csv
perennial,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-perennial-judging,repo=2023-05-perennial-judging,audit_events_sherlock.csv
ecoprotocol,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-ecoprotocol,repo=2023-05-ecoprotocol,audit_events_sherlock.csv
ecoprotocol,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-ecoprotocol-judging,repo=2023-05-ecoprotocol-judging,audit_events_sherlock.csv
index,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-Index,repo=2023-05-Index,audit_events_sherlock.csv
index,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-Index-judging,repo=2023-05-Index-judging,audit_events_sherlock.csv
ussd,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-USSD,repo=2023-05-USSD,audit_events_sherlock.csv
ussd,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-USSD-judging,repo=2023-05-USSD-judging,audit_events_sherlock.csv
ironbank,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-ironbank,repo=2023-05-ironbank,audit_events_sherlock.csv
ironbank,sherlock,Sherlock,,2023-05-15T00:00:00Z,https://github.com/sherlock-audit/2023-05-ironbank-judging,repo=2023-05-ironbank-judging,audit_events_sherlock.csv
symmetrical,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-symmetrical,repo=2023-06-symmetrical,audit_events_sherlock.csv
symmetrical,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-symmetrical-judging,repo=2023-06-symmetrical-judging,audit_events_sherlock.csv
arrakis,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-arrakis,repo=2023-06-arrakis,audit_events_sherlock.csv
arrakis,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-arrakis-judging,repo=2023-06-arrakis-judging,audit_events_sherlock.csv
real-wagmi,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-real-wagmi,repo=2023-06-real-wagmi,audit_events_sherlock.csv
real-wagmi,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-real-wagmi-judging,repo=2023-06-real-wagmi-judging,audit_events_sherlock.csv
dodo,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-dodo,repo=2023-06-dodo,audit_events_sherlock.csv
dodo,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-dodo-judging,repo=2023-06-dodo-judging,audit_events_sherlock.csv
index,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-Index,repo=2023-06-Index,audit_events_sherlock.csv
index,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-Index-judging,repo=2023-06-Index-judging,audit_events_sherlock.csv
unstoppable,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-unstoppable,repo=2023-06-unstoppable,audit_events_sherlock.csv
unstoppable,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-unstoppable-judging,repo=2023-06-unstoppable-judging,audit_events_sherlock.csv
gfx,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-gfx,repo=2023-06-gfx,audit_events_sherlock.csv
gfx,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-gfx-judging,repo=2023-06-gfx-judging,audit_events_sherlock.csv
dinari,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-dinari,repo=2023-06-dinari,audit_events_sherlock.csv
dinari,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-dinari-judging,repo=2023-06-dinari-judging,audit_events_sherlock.csv
bond,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-bond,repo=2023-06-bond,audit_events_sherlock.csv
bond,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-bond-judging,repo=2023-06-bond-judging,audit_events_sherlock.csv
tokensoft,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-tokensoft,repo=2023-06-tokensoft,audit_events_sherlock.csv
tokensoft,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-tokensoft-judging,repo=2023-06-tokensoft-judging,audit_events_sherlock.csv
tokemak,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-tokemak,repo=2023-06-tokemak,audit_events_sherlock.csv
tokemak,sherlock,Sherlock,,2023-06-15T00:00:00Z,https://github.com/sherlock-audit/2023-06-tokemak-judging,repo=2023-06-tokemak-judging,audit_events_sherlock.csv
beam-auction,sherlock,Sherlock,,2023-07-15T00:00:00Z,https://github.com/sherlock-audit/2023-07-beam-auction,repo=2023-07-beam-auction,audit_events_sherlock.csv
beam-auction,sherlock,Sherlock,,2023-07-15T00:00:00Z,https://github.com/sherlock-audit/2023-07-beam-auction-judging,repo=2023-07-beam-auction-judging,audit_events_sherlock.csv
kyber-swap,sherlock,Sherlock,,2023-07-15T00:00:00Z,https://github.com/sherlock-audit/2023-07-kyber-swap,repo=2023-07-kyber-swap,audit_events_sherlock.csv
