protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
auditguide,github_strict_search,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/rajeev.md,kw=openzeppelin; path=audit; ext=md; repo=AuditGuide; file=Audit/ref/rajeev.md,scrape_github_strict_audit_reports.py
vskill,github_strict_search,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v1/audit-data/report.md,kw=openzeppelin; path=audit; ext=md; repo=VSkill; file=audit/v1/audit-data/report.md,scrape_github_strict_audit_reports.py
vskill,github_strict_search,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v2/audit-data/report.md,kw=openzeppelin; path=audit; ext=md; repo=VSkill; file=audit/v2/audit-data/report.md,scrape_github_strict_audit_reports.py
vskill,github_strict_search,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v1/audit-data/findings.md,kw=openzeppelin; path=audit; ext=md; repo=VSkill; file=audit/v1/audit-data/findings.md,scrape_github_strict_audit_reports.py
vskill,github_strict_search,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v2/audit-data/findings.md,kw=openzeppelin; path=audit; ext=md; repo=VSkill; file=audit/v2/audit-data/findings.md,scrape_github_strict_audit_reports.py
kaia-contracts,github_strict_search,OpenZeppelin,,,https://github.com/kaiachain/kaia-contracts/blob/808b116c19d24792ef7a5a928a1874bf1fa05e0d/audit/2017-03.md,kw=openzeppelin; path=audit; ext=md; repo=kaia-contracts; file=audit/2017-03.md,scrape_github_strict_audit_reports.py
contracts,github_strict_search,OpenZeppelin,,,https://github.com/bazaar-buidlers/contracts/blob/bc0bbf44d7d5d9ecdcb163797f8bc483446ce3f7/audit/2023-02_Bazaar_Audit_Report.md,kw=openzeppelin; path=audit; ext=md; repo=contracts; file=audit/2023-02_Bazaar_Audit_Report.md,scrape_github_strict_audit_reports.py
vskill,github_strict_search,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v2/audit-data/adeyrn-report.md,kw=openzeppelin; path=audit; ext=md; repo=VSkill; file=audit/v2/audit-data/adeyrn-report.md,scrape_github_strict_audit_reports.py
concrete-earn-v2-security,github_strict_search,OpenZeppelin,,,https://github.com/avaloki108/concrete-earn-v2-security-audit/blob/d13efe808829607e254d03dce0919f269fb18d96/audit/02-SlitherAnalysis/SLITHER-SUMMARY.md,kw=openzeppelin; path=audit; ext=md; repo=concrete-earn-v2-security-audit; file=audit/02-SlitherAnalysis/SLITHER-SUMMARY.md,scrape_github_strict_audit_reports.py
openmev-router-docs,github_strict_search,OpenZeppelin,,,https://github.com/manifoldfinance/openmev-router-docs/blob/54153191ba2a8410672f0d5ce4ffd84d6e2f75c2/audit/README.md,kw=openzeppelin; path=audit; ext=md; repo=openmev-router-docs; file=audit/README.md,scrape_github_strict_audit_reports.py
lendefi-protocol,github_strict_search,OpenZeppelin,,,https://github.com/nebula-labs-xyz/lendefi-protocol/blob/6d0a6dace0b126bb89ce49c96c2b88b0c5ad65d6/audit/GovernanceToken.md,kw=openzeppelin; path=audit; ext=md; repo=lendefi-protocol; file=audit/GovernanceToken.md,scrape_github_strict_audit_reports.py
2025-07-orderbook,github_strict_search,OpenZeppelin,,,https://github.com/Neros0/2025-07-orderbook/blob/588ca9c849f48bc06082cc9499cdd130c417ed2d/audit/slither.md,kw=openzeppelin; path=audit; ext=md; repo=2025-07-orderbook; file=audit/slither.md,scrape_github_strict_audit_reports.py
