slug,name,symbol,category,tvl,chains,has_audit_strict,has_contest,audit_event_count_strict,contest_event_count,security_review_event_count_total,last_audit_date_strict,last_contest_date,last_security_review_date,audit_sources,audit_firms,has_security_review_broad
portal,Portal,W,Bridge,1670510796.846037,Ethereum;Solana;Binance;Near;Polygon;Terra;Avalanche;Arbitrum;Sui;Aptos;Moonbeam;Fantom;Base;Algorand;Klaytn;Celo;Oasis;Optimism;Aurora;Injective;Terra2;XPLA;Karura;Acala,0,0,0,0,1,,,,['certik'],['CertiK'],0
predict-fun,Predict Fun,-,Prediction Market,10973709.924107516,Binance;Blast,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
prepo,prePO,-,Derivatives,15849.440508298028,Arbitrum;Blast;Base,0,1,0,2,2,,,,['code4rena'],['Code4rena'],1
rage-trade,Rage Trade,-,Derivatives,,,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
renzo,Renzo,REZ,Liquid Restaking,655517540.5528857,Ethereum;Arbitrum;Linea;Solana;Zircuit;Mode;Base;Optimism;Blast;Binance;Fraxtal;Sei,0,1,0,1,2,,,,"['certik', 'code4rena']","['CertiK', 'Code4rena']",1
revert-lend,Revert Lend,-,Lending,10136942.901773404,Arbitrum;Base;Ethereum,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
robinhood,Robinhood,-,CEX,16794939403.069056,Bitcoin;Ethereum;Avalanche;Polygon,0,0,0,0,1,,,,['certik'],['CertiK'],0
rocket-pool,Rocket Pool,RPL,Liquid Staking,1829292165.1380453,Ethereum,0,0,0,0,1,,,,['certik'],['CertiK'],0
rubicon,Rubicon,RUBI,Dexs,291750.0745171129,Optimism;Base;Arbitrum,0,1,0,2,2,,,,['code4rena'],['Code4rena'],1
saffron-finance,Saffron Finance,SFI,Yield,0.0,Ethereum,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
sandclock,SandClock,QUARTZ,Yield,110479.98128849392,Ethereum,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
sense,Sense,-,Yield,35911.64210207676,Ethereum,0,1,0,4,4,,,,['sherlock'],['Sherlock'],1
sentiment,Sentiment,-,Lending,16327565.906641806,Hyperliquid L1;Arbitrum,0,1,0,8,8,,,,['sherlock'],['Sherlock'],1
shell-protocol,Shell Protocol,SHELL,Dexs,166110.1769673644,Arbitrum,0,1,0,2,2,,,,['code4rena'],['Code4rena'],1
sherlock,Sherlock,-,Insurance,504467.7507551894,Ethereum,0,1,0,4,4,,,,"['code4rena', 'sherlock']","['Code4rena', 'Sherlock']",1
slingshot,Slingshot,-,DEX Aggregator,,,0,1,0,2,2,,,,['code4rena'],['Code4rena'],1
spartan,Spartan,SPARTA,Dexs,9672.264352781269,Binance,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
spectra-v1,Spectra V1,SPECTRA,Yield Aggregator,180670.20070190425,Polygon;Ethereum,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
stader,Stader,SD,Liquid Staking,542189383.1423585,Ethereum;Hedera;Binance;Fantom;Terra2;Near,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
stakehouse,Stakehouse,BSN,Liquid Staking,101495.18007,Ethereum,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
superposition,Superposition,-,Lending,586340.3862418168,Aptos,0,1,0,2,2,,,,['code4rena'],['Code4rena'],1
surge,Surge,-,Lending,2990.510194569928,Arbitrum,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
sushi-trident,Sushi Trident,-,Dexs,276183.0396718068,Polygon;Optimism;Metis;Bittorrent;Arbitrum;Binance;Avalanche;Kava,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
swissborg,SwissBorg,BORG,CEX,1183472201.6291504,Ethereum;Bitcoin;Solana;Ripple;Binance;Cardano;Hedera;Avalanche;Doge;Near;Tron;Polygon;Cosmos;Injective;Stellar;TON;Arbitrum;Optimism;Sei;Algorand;Celestia;Moonbeam;Sonic;Berachain;Osmosis;xDai;Chiliz;Polkadot,0,0,0,0,1,,,,['certik'],['CertiK'],0
symbiotic,Symbiotic,-,Restaking,565618218.7652495,Ethereum,0,0,0,0,1,,,,['certik'],['CertiK'],0
symmetric,Symmetric,SYMM,Dexs,50850.621963812686,xDai;Celo;Taiko;Meter;Telos;Etherlink,0,1,0,4,4,,,,['sherlock'],['Sherlock'],1
symmetry,Symmetry,-,Indexes,2671609.6509778937,Solana,0,1,0,2,2,,,,['code4rena'],['Code4rena'],1
symmio,SYMMIO,SYMM,Derivatives,5686525.628728336,Base;Coti;Binance;Arbitrum;Berachain;Sonic;Mantle;IOTA EVM;Mode,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
taiko-bridge,Taiko Bridge,TAIKO,Canonical Bridge,30165934.920577265,Ethereum,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
tbtc,tBTC,T,Decentralized BTC,541476713.0971974,Bitcoin;Ethereum,0,0,0,0,1,,,,['certik'],['CertiK'],0
telcoin,Telcoin,TEL,Payments,0.0,Polygon,0,1,0,8,8,,,,['sherlock'],['Sherlock'],1
teller,Teller,-,Lending,7729523.605116893,Ethereum;Base;Arbitrum;Katana,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
tether-gold,Tether Gold,XAUt,RWA,2266958519.029269,Ethereum;Plasma;Avalanche;Monad;Arbitrum;Celo;Polygon;Ink,0,0,0,0,1,,,,['certik'],['CertiK'],0
the-graph,The Graph,GRT,Developer Tools,0.0,Ethereum;Arbitrum,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
tigris,Tigris,TIG,Derivatives,9412.61926049734,Polygon;Arbitrum,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
union-protocol,Union Protocol,UNION,Uncollateralized Lending,270626.15852935746,Optimism;Ethereum;Base;Arbitrum,0,1,0,3,3,,,,"['code4rena', 'sherlock']","['Code4rena', 'Sherlock']",1
usdt0,USDT0,-,Bridge,4475173923.039608,Ethereum,0,0,0,0,1,,,,['certik'],['CertiK'],0
uxd,UXD,UXP,Partially Algorithmic Stablecoin,303879.49811882665,Solana,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
vader-ai,Vader AI,VADER,AI Agents,0.0,Base,0,1,0,3,3,,,,['code4rena'],['Code4rena'],1
veda,Veda,-,Onchain Capital Allocator,1803702752.2112117,Ethereum;Plasma;Scroll;Hyperliquid L1;Sonic;Base;Arbitrum;Berachain;Binance;BOB,0,0,0,0,1,,,,['certik'],['CertiK'],0
virtuals-protocol,Virtuals Protocol,VIRTUAL,AI Agents,,,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
wild-credit,Wild Credit,WILD,Lending,10003.664450354854,Ethereum,0,1,0,2,2,,,,['code4rena'],['Code4rena'],1
woofi-swap,WOOFi Swap,WOO,Dexs,7578576.722037386,Avalanche;Polygon;Base;Linea;Mantle;Arbitrum;Optimism;Binance;Sonic;Monad;Berachain;Hyperliquid L1;zkSync Era;Fantom;Ethereum;Polygon zkEVM,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
xdefi,XDeFi,XDEX,Dexs,122079.63280424448,Ethereum,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
y2k-v2,Y2K V2,Y2K,Derivatives,3783.080561326893,Arbitrum,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
yaxis,yAxis,YAXIS,Yield Aggregator,397784.0393467834,Ethereum,0,1,0,2,2,,,,['code4rena'],['Code4rena'],1
yeti-finance,Yeti Finance,YETI,CDP,0.0,Avalanche,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
yieldly,Yieldly,YLDY,Yield,0.0,Algorand,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
yieldoor,Yieldoor,-,Leveraged Farming,351639.43488315126,Ethereum;Sonic;Base,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
yieldpulse-finance,YieldPulse Finance,YIELD,Farm,168.32937467934346,Pulse,0,1,0,4,4,,,,['code4rena'],['Code4rena'],1
zetachain,ZetaChain,ZETA,Chain,,,0,1,0,1,1,,,,['code4rena'],['Code4rena'],1
zivoe,Zivoe,ZVE,RWA,289561.6953206187,Ethereum,0,1,0,2,2,,,,['sherlock'],['Sherlock'],1
