protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,slug,in_llama,protocol_norm,slug_mapped,slug_final
miner-launchpad-foundry,audit_report_firm,OpenZeppelin,,,https://github.com/Heesho/miner-launchpad-foundry/blob/5efdcb2d4f3f6e862e7f4fd5acf7cefefb745ae4/audit/AUDIT_REPORT.md,"repo=Heesho/miner-launchpad-foundry; path=audit/AUDIT_REPORT.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,miner launchpad foundry,,
athena-contracts,audit_report_firm,OpenZeppelin,,,https://github.com/Athena-ins/athena-contracts/blob/afe2cb4aea9572aebbd2c8d3f00b8d76c2050d98/audit/slither/report.md,"repo=Athena-ins/athena-contracts; path=audit/slither/report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,athena,,
gasbot_audit,audit_report_firm,OpenZeppelin,,2024-06-30T00:00:00Z,https://github.com/GasBot-xyz/gasbot_audit/blob/c4c4e4a6744715f268b28462bad796ec310b5753/audit/202401_GasbotV2_cholakov.md,"repo=GasBot-xyz/gasbot_audit; path=audit/202401_GasbotV2_cholakov.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,gasbot audit,,
ideation-market-w3i,audit_report_firm,OpenZeppelin,,,https://github.com/web3ideation/ideation-market-w3i/blob/2155d29eb3bc0e70ddfefedf2cc32927c46a753c/audit/original4naly3erReport.md,"repo=web3ideation/ideation-market-w3i; path=audit/original4naly3erReport.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,ideation market w3i,,
think-staking-audit,audit_report_firm,OpenZeppelin,,,https://github.com/Ai-Layer-Labs/think-staking-audit/blob/2edaca109409b8d3cecd1fa642913fb0d6c6069c/audit/roles.md,"repo=Ai-Layer-Labs/think-staking-audit; path=audit/roles.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,think staking audit,,
usdtg-usdcg,audit_report_firm,OpenZeppelin,,,https://github.com/ta5jg/usdtg-usdcg/blob/2db56a907e3a4b1be3c6ed7b4be5e8c71b9a26a0/audit/AUDIT_REPORT.md,"repo=ta5jg/usdtg-usdcg; path=audit/AUDIT_REPORT.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,usdtg usdcg,,
ideation-market-w3i,audit_report_firm,OpenZeppelin,,,https://github.com/web3ideation/ideation-market-w3i/blob/2155d29eb3bc0e70ddfefedf2cc32927c46a753c/audit/4naly3er/report_23.07.25.md,"repo=web3ideation/ideation-market-w3i; path=audit/4naly3er/report_23.07.25.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,ideation market w3i,,
icrm_audit,audit_report_firm,OpenZeppelin,,,https://github.com/krogla/icrm_audit/blob/3d288078b032defa52d864f8b27c1ff1f3439950/audit/source_code_audit_ru.md,"repo=krogla/icrm_audit; path=audit/source_code_audit_ru.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,icrm audit,,
liquid-signal-governance,audit_report_firm,OpenZeppelin,,,https://github.com/Heesho/liquid-signal-governance/blob/3eaab7d3a4db6597c92649b6de9456bc8a8a2823/audit/ClaudeAudit.md,"repo=Heesho/liquid-signal-governance; path=audit/ClaudeAudit.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,liquid signal governance,,
buyback-contract,audit_report_firm,OpenZeppelin,,,https://github.com/dhedge/buyback-contract/blob/79bbfa5b1468a4054ea48eb9a0184ba15c098336/audit/MTA%20Buyback%20report.md,"repo=dhedge/buyback-contract; path=audit/MTA Buyback report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,buyback,,
