protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,org,repo_name,protocol_guess,slug,in_llama,protocol_norm,slug_mapped,slug_final
sushitrident,code4rena,Code4rena,,2021-08-27T16:42:19Z,https://github.com/code-423n4/2021-09-sushitrident-findings,repo=2021-09-sushitrident-findings,audit_events_code4rena.csv,,,,,1,sushitrident,sushi-trident,sushi-trident
yaxis,code4rena,Code4rena,,2021-08-31T18:53:34Z,https://github.com/code-423n4/2021-09-yaxis,repo=2021-09-yaxis,audit_events_code4rena.csv,,,,,1,yaxis,yaxis,yaxis
yaxis,code4rena,Code4rena,,2021-08-31T18:55:47Z,https://github.com/code-423n4/2021-09-yaxis-findings,repo=2021-09-yaxis-findings,audit_events_code4rena.csv,,,,,1,yaxis,yaxis,yaxis
bvecvx,code4rena,Code4rena,,2021-08-31T20:48:26Z,https://github.com/code-423n4/2021-09-bvecvx,repo=2021-09-bvecvx,audit_events_code4rena.csv,,,,,1,bvecvx,x,x
bvecvx,code4rena,Code4rena,,2021-08-31T20:59:37Z,https://github.com/code-423n4/2021-09-bvecvx-findings,repo=2021-09-bvecvx-findings,audit_events_code4rena.csv,,,,,1,bvecvx,x,x
wildcredit,code4rena,Code4rena,,2021-09-02T20:40:32Z,https://github.com/code-423n4/2021-09-wildcredit-findings,repo=2021-09-wildcredit-findings,audit_events_code4rena.csv,,,,,1,wildcredit,wild-credit,wild-credit
wildcredit,code4rena,Code4rena,,2021-09-08T16:22:38Z,https://github.com/code-423n4/2021-09-wildcredit,repo=2021-09-wildcredit,audit_events_code4rena.csv,,,,,1,wildcredit,wild-credit,wild-credit
pooltogether,code4rena,Code4rena,,2021-09-13T21:24:08Z,https://github.com/code-423n4/2021-10-pooltogether-findings,repo=2021-10-pooltogether-findings,audit_events_code4rena.csv,,,,,1,pooltogether,pooltogether-v5,pooltogether-v5
sushitrident-2,code4rena,Code4rena,,2021-09-14T20:20:11Z,https://github.com/code-423n4/2021-09-sushitrident-2,repo=2021-09-sushitrident-2,audit_events_code4rena.csv,,,,,0,sushitrident 2,,
defiProtocol,code4rena,Code4rena,,2021-09-15T17:41:24Z,https://github.com/code-423n4/2021-09-defiProtocol,repo=2021-09-defiProtocol,audit_events_code4rena.csv,,,,,0,defiprotocol,,
defiprotocol,code4rena,Code4rena,,2021-09-15T17:49:15Z,https://github.com/code-423n4/2021-09-defiprotocol-findings,repo=2021-09-defiprotocol-findings,audit_events_code4rena.csv,,,,,0,defiprotocol,,
sushitrident-2,code4rena,Code4rena,,2021-09-16T13:58:07Z,https://github.com/code-423n4/2021-09-sushitrident-2-findings,repo=2021-09-sushitrident-2-findings,audit_events_code4rena.csv,,,,,0,sushitrident 2,,
pooltogether,code4rena,Code4rena,,2021-09-17T15:46:36Z,https://github.com/code-423n4/2021-10-pooltogether,repo=2021-10-pooltogether,audit_events_code4rena.csv,,,,,1,pooltogether,pooltogether-v5,pooltogether-v5
tempus,code4rena,Code4rena,,2021-09-17T16:46:13Z,https://github.com/code-423n4/2021-10-tempus-findings,repo=2021-10-tempus-findings,audit_events_code4rena.csv,,,,,1,tempus,tempus-finance,tempus-finance
tempus,code4rena,Code4rena,,2021-09-17T17:05:56Z,https://github.com/code-423n4/2021-10-tempus,repo=2021-10-tempus,audit_events_code4rena.csv,,,,,1,tempus,tempus-finance,tempus-finance
ambire,code4rena,Code4rena,,2021-09-20T20:34:00Z,https://github.com/code-423n4/2021-10-ambire,repo=2021-10-ambire,audit_events_code4rena.csv,,,,,1,ambire,ambire-wallet,ambire-wallet
